port,cargo_type,customer_type,industry,transport_mode,distance_km,transport_cost,port_cost,total_cost,delay_occurred,delay_days,monthly_spend_value,shipment_frequency,storage_required,storage_days,express_required,loss_due_to_delay,customer_satisfaction,will_choose_portkart
Cochin,Bulk,Exporter,FMCG,Rail,1021,43330,39087,82417,1,3,412085,8,1,5,1,23457,2,1
Mundra,Hazardous,Exporter,Electronics,Road,978,73307,24964,98271,1,4,393084,5,1,5,1,7696,5,1
Chennai,Container,Exporter,FMCG,Rail,1315,45713,36639,82352,0,0,164704,11,0,5,0,0,1,1
JNPT,Bulk,Retailer,Electronics,Rail,876,86318,34512,120830,0,0,362490,11,0,5,0,0,1,1
Chennai,Liquid,Importer,Machinery,Multi-modal,820,40404,28175,68579,0,0,342895,5,0,5,0,0,2,0
Chennai,Container,Importer,Electronics,Road,537,78765,22048,100813,1,1,504065,2,1,2,1,9865,3,1
Chennai,Bulk,Retailer,Textiles,Road,450,82944,37461,120405,1,2,842835,7,0,5,0,11346,3,1
Chennai,Liquid,Exporter,Textiles,Multi-modal,496,53051,26881,79932,0,0,239796,2,1,1,1,0,4,1
Mundra,Liquid,Importer,FMCG,Road,1033,77660,27043,104703,0,0,209406,5,1,6,0,0,5,1
Chennai,Liquid,Retailer,Textiles,Rail,949,85002,38290,123292,0,0,986336,8,1,1,0,0,3,1
Chennai,Container,Retailer,Chemicals,Rail,583,50161,31314,81475,0,0,488850,5,1,1,0,0,4,1
Mundra,Bulk,Exporter,Electronics,Multi-modal,1194,82928,34124,117052,0,0,351156,6,0,6,0,0,5,1
JNPT,Bulk,Retailer,FMCG,Multi-modal,127,53568,34178,87746,0,0,701968,8,1,5,1,0,3,0
Chennai,Liquid,Distributor,Chemicals,Road,1347,58030,37302,95332,0,0,762656,10,1,3,0,0,1,1
Cochin,Hazardous,Exporter,Chemicals,Road,194,41062,38360,79422,1,2,238266,13,1,1,1,17122,3,1
JNPT,Container,Exporter,Electronics,Multi-modal,474,66734,26371,93105,0,0,279315,5,1,4,1,0,3,1
Chennai,Container,Exporter,Chemicals,Rail,892,43812,37844,81656,0,0,571592,14,1,6,0,0,1,1
Chennai,Liquid,Distributor,Chemicals,Multi-modal,53,44324,30787,75111,1,2,225333,6,1,1,1,7102,3,1
JNPT,Bulk,Distributor,Machinery,Rail,1483,50954,33703,84657,0,0,507942,6,1,3,1,0,4,1
JNPT,Hazardous,Distributor,Textiles,Multi-modal,894,42048,26233,68281,1,2,409686,11,0,1,1,2018,5,1
Mundra,Hazardous,Exporter,Electronics,Road,960,45287,21619,66906,0,0,401436,8,1,3,1,0,5,0
Kolkata,Hazardous,Exporter,Textiles,Multi-modal,562,41908,28567,70475,1,2,352375,8,1,6,1,13902,5,1
Chennai,Container,Importer,FMCG,Rail,181,70523,35524,106047,1,3,742329,9,0,2,0,23829,3,1
Cochin,Bulk,Importer,Electronics,Multi-modal,552,61526,24670,86196,0,0,172392,2,1,5,1,0,3,0
Chennai,Liquid,Distributor,Textiles,Road,599,64519,35374,99893,1,1,499465,9,0,5,0,1950,1,1
Kolkata,Bulk,Exporter,Machinery,Multi-modal,864,72265,24612,96877,1,1,678139,4,0,4,1,4228,5,1
Cochin,Liquid,Retailer,Textiles,Rail,1356,75659,23756,99415,1,3,397660,5,1,3,1,21498,2,1
Chennai,Hazardous,Exporter,Chemicals,Multi-modal,1053,50380,27783,78163,0,0,156326,4,1,4,0,0,2,0
JNPT,Hazardous,Distributor,Textiles,Multi-modal,863,84409,27196,111605,0,0,223210,5,0,2,1,0,1,1
JNPT,Liquid,Exporter,Electronics,Road,1210,77430,26514,103944,0,0,623664,10,1,1,0,0,4,1
JNPT,Bulk,Distributor,Textiles,Road,689,47973,28577,76550,0,0,306200,11,0,4,0,0,1,1
Kolkata,Bulk,Importer,Textiles,Rail,715,62359,33472,95831,0,0,766648,12,1,5,0,0,1,1
Kolkata,Container,Importer,Electronics,Road,1039,77011,29916,106927,0,0,855416,7,0,3,1,0,5,1
JNPT,Container,Importer,Electronics,Rail,1444,64861,27311,92172,0,0,276516,2,1,6,1,0,2,1
Chennai,Liquid,Retailer,Textiles,Rail,211,52342,28038,80380,1,2,241140,12,0,4,1,8924,5,1
JNPT,Container,Distributor,Electronics,Multi-modal,1302,87063,30682,117745,0,0,1059705,3,0,1,1,0,2,1
Chennai,Hazardous,Retailer,Chemicals,Road,231,71821,29503,101324,1,3,911916,5,1,2,0,16275,1,1
Cochin,Liquid,Retailer,FMCG,Rail,864,76220,29106,105326,0,0,526630,5,1,3,1,0,3,1
Kolkata,Hazardous,Importer,Machinery,Multi-modal,903,73572,33221,106793,1,1,320379,12,1,1,1,3679,3,1
JNPT,Bulk,Distributor,Electronics,Multi-modal,1274,67856,22573,90429,1,2,542574,6,1,3,1,6102,2,1
Mundra,Container,Importer,FMCG,Road,983,48996,36458,85454,1,4,512724,2,0,5,0,32564,2,1
Kolkata,Liquid,Importer,Textiles,Rail,317,80809,36725,117534,0,0,235068,13,0,5,0,0,5,1
Kolkata,Bulk,Exporter,Machinery,Multi-modal,843,76397,23067,99464,1,1,397856,13,0,3,1,8679,4,1
JNPT,Liquid,Distributor,Machinery,Road,800,71463,37717,109180,0,0,873440,4,0,3,1,0,3,1
Cochin,Liquid,Exporter,Electronics,Road,1290,87304,20153,107457,0,0,214914,13,0,2,0,0,3,1
Mundra,Container,Retailer,Chemicals,Multi-modal,1117,81131,29650,110781,0,0,332343,11,0,1,0,0,2,1
JNPT,Liquid,Importer,Machinery,Road,423,60491,21341,81832,1,3,736488,6,1,1,1,19161,3,1
Mundra,Container,Importer,FMCG,Road,1159,86617,24873,111490,0,0,222980,10,0,6,0,0,1,1
Chennai,Hazardous,Retailer,Chemicals,Multi-modal,1044,57905,29018,86923,1,2,695384,2,0,2,0,12784,3,1
Kolkata,Hazardous,Importer,Chemicals,Multi-modal,546,53409,36514,89923,1,4,269769,4,0,6,0,34256,2,1
JNPT,Hazardous,Importer,FMCG,Rail,463,53737,29323,83060,0,0,664480,11,0,5,0,0,3,0
Kolkata,Container,Exporter,Electronics,Rail,975,48436,32984,81420,0,0,407100,9,0,4,0,0,3,0
Cochin,Bulk,Retailer,Machinery,Road,481,72413,22033,94446,0,0,661122,1,0,6,0,0,1,1
JNPT,Hazardous,Retailer,Textiles,Rail,856,71883,30426,102309,1,1,613854,8,0,6,1,9202,5,1
Mundra,Container,Distributor,Machinery,Rail,1403,54899,36220,91119,1,1,364476,11,1,1,1,1936,1,1
Mundra,Liquid,Retailer,Electronics,Multi-modal,1093,55876,38180,94056,1,3,188112,10,0,5,0,25971,3,1
Mundra,Bulk,Exporter,Machinery,Multi-modal,1162,87319,27906,115225,0,0,1037025,9,1,6,0,0,1,1
Chennai,Liquid,Retailer,Electronics,Multi-modal,89,72284,37602,109886,1,4,329658,9,0,3,0,33164,3,1
Cochin,Hazardous,Exporter,Chemicals,Road,1022,81873,28228,110101,0,0,660606,1,1,5,1,0,5,1
Chennai,Bulk,Distributor,Machinery,Road,1335,41591,31303,72894,1,3,437364,8,0,4,0,8112,5,1
Chennai,Container,Importer,Chemicals,Multi-modal,182,66292,33481,99773,0,0,399092,11,0,2,0,0,2,1
Mundra,Hazardous,Distributor,FMCG,Rail,638,51700,23741,75441,1,2,377205,13,1,2,1,4272,1,1
JNPT,Hazardous,Distributor,Textiles,Rail,635,47009,32987,79996,0,0,479976,9,1,2,0,0,4,0
Cochin,Container,Exporter,Textiles,Road,573,53507,27059,80566,1,2,402830,6,0,2,1,7504,2,1
Chennai,Bulk,Exporter,Textiles,Multi-modal,997,63821,24799,88620,1,4,443100,13,1,5,0,35252,3,1
Chennai,Bulk,Distributor,Chemicals,Road,1172,84569,31745,116314,0,0,697884,13,0,5,0,0,4,1
Mundra,Liquid,Exporter,Chemicals,Road,70,43093,31722,74815,0,0,149630,5,0,4,1,0,1,1
Cochin,Liquid,Distributor,Machinery,Multi-modal,1058,47424,32857,80281,1,3,240843,9,1,4,1,19170,4,1
Chennai,Hazardous,Retailer,Textiles,Rail,248,79341,37368,116709,1,1,1050381,3,0,4,0,6655,4,1
Mundra,Liquid,Retailer,Chemicals,Road,1066,40526,23224,63750,0,0,510000,12,0,6,1,0,5,0
Mundra,Hazardous,Retailer,FMCG,Rail,656,69759,24167,93926,0,0,657482,6,1,3,0,0,1,1
Kolkata,Bulk,Importer,Electronics,Road,637,70087,37162,107249,0,0,965241,9,1,6,1,0,2,1
Mundra,Hazardous,Importer,Electronics,Road,165,89153,26368,115521,0,0,693126,10,1,2,1,0,2,1
Mundra,Bulk,Distributor,Textiles,Road,684,43041,20105,63146,0,0,126292,6,0,6,0,0,2,1
Kolkata,Hazardous,Retailer,Textiles,Rail,1387,66289,23389,89678,1,3,358712,6,1,3,0,17712,4,1
Mundra,Bulk,Distributor,Machinery,Road,1374,55313,35349,90662,0,0,453310,3,1,3,0,0,4,1
Cochin,Hazardous,Importer,FMCG,Rail,963,84662,22356,107018,1,3,535090,3,1,5,1,28509,1,1
Chennai,Liquid,Retailer,Electronics,Multi-modal,1405,54025,28946,82971,1,1,580797,1,1,5,0,1956,4,1
Cochin,Hazardous,Retailer,Electronics,Multi-modal,657,65963,23453,89416,1,4,268248,9,1,2,0,26524,4,1
Mundra,Liquid,Exporter,Machinery,Multi-modal,1310,51171,32582,83753,0,0,335012,2,1,5,0,0,3,1
Mundra,Hazardous,Retailer,FMCG,Multi-modal,342,63279,32765,96044,0,0,480220,5,1,5,0,0,4,1
Cochin,Liquid,Exporter,Electronics,Multi-modal,77,44599,22278,66877,0,0,200631,2,0,5,0,0,4,0
Kolkata,Container,Distributor,FMCG,Road,893,76142,26430,102572,0,0,410288,14,0,1,0,0,3,1
Kolkata,Container,Importer,Machinery,Road,354,56959,26099,83058,0,0,332232,1,1,4,1,0,4,0
Chennai,Container,Retailer,Chemicals,Rail,846,60337,36001,96338,0,0,578028,1,0,3,1,0,5,1
JNPT,Container,Distributor,Textiles,Rail,266,73997,28467,102464,1,4,409856,2,0,1,0,25368,3,1
Mundra,Liquid,Retailer,Chemicals,Rail,795,53605,32115,85720,0,0,600040,12,0,2,0,0,5,0
Cochin,Liquid,Exporter,FMCG,Rail,1218,88320,34646,122966,1,3,368898,10,1,1,1,5958,1,1
Kolkata,Container,Importer,Machinery,Road,1293,71890,33598,105488,1,1,949392,2,1,6,0,6704,1,1
JNPT,Container,Retailer,Machinery,Rail,543,46924,39614,86538,1,4,259614,4,1,3,1,18212,2,1
Cochin,Container,Distributor,Electronics,Road,1138,65426,37772,103198,1,4,722386,12,1,5,0,15500,5,1
JNPT,Container,Importer,FMCG,Rail,991,48927,34437,83364,0,0,333456,9,0,5,1,0,2,1
Kolkata,Container,Importer,Machinery,Multi-modal,1373,41177,24760,65937,0,0,197811,4,0,3,1,0,2,1
Kolkata,Liquid,Distributor,Machinery,Multi-modal,842,64596,20406,85002,0,0,765018,4,0,3,0,0,3,0
Mundra,Bulk,Importer,FMCG,Rail,51,47151,23610,70761,1,4,283044,1,0,4,1,21780,3,1
Kolkata,Bulk,Distributor,Machinery,Rail,1001,47052,23654,70706,0,0,141412,4,1,4,1,0,1,1
Kolkata,Hazardous,Importer,Machinery,Rail,1293,53673,31130,84803,0,0,593621,9,1,1,0,0,2,1
JNPT,Container,Exporter,FMCG,Multi-modal,1133,46295,37456,83751,0,0,502506,7,1,1,1,0,4,1
Mundra,Container,Distributor,Machinery,Road,711,66160,36866,103026,1,1,824208,5,0,3,1,8622,3,1
Mundra,Container,Exporter,Textiles,Multi-modal,1447,79420,27421,106841,0,0,961569,13,0,1,0,0,4,1
Chennai,Hazardous,Exporter,Chemicals,Road,402,73893,30793,104686,1,1,732802,4,0,1,1,6472,3,1
JNPT,Liquid,Retailer,Machinery,Rail,116,46704,23713,70417,1,4,281668,6,1,5,1,33704,2,1
Kolkata,Bulk,Exporter,FMCG,Road,336,49686,34109,83795,0,0,586565,9,0,2,1,0,1,1
Kolkata,Container,Retailer,Machinery,Multi-modal,397,82891,27123,110014,0,0,770098,3,1,6,0,0,4,1
JNPT,Container,Exporter,Electronics,Road,833,72916,33395,106311,1,2,956799,12,1,4,1,9450,4,1
JNPT,Liquid,Exporter,Electronics,Road,884,58792,36724,95516,0,0,191032,4,1,2,1,0,3,1
Chennai,Liquid,Exporter,FMCG,Road,1231,45435,24107,69542,1,2,486794,8,1,6,1,18650,3,1
Kolkata,Bulk,Importer,Textiles,Rail,1279,52686,33716,86402,0,0,345608,4,1,2,0,0,5,1
JNPT,Hazardous,Distributor,Textiles,Road,951,45901,24917,70818,1,4,283272,9,0,5,1,15856,2,1
Kolkata,Container,Distributor,Chemicals,Road,592,86659,27340,113999,0,0,1025991,14,1,2,0,0,5,1
Chennai,Bulk,Exporter,Textiles,Rail,827,77947,26610,104557,0,0,627342,9,1,6,0,0,5,1
JNPT,Liquid,Distributor,Chemicals,Road,1333,84936,25448,110384,1,2,441536,4,0,1,0,4764,4,1
Kolkata,Container,Retailer,Machinery,Multi-modal,817,73187,32411,105598,1,2,844784,13,0,3,1,5098,5,1
Cochin,Bulk,Importer,FMCG,Multi-modal,1496,44481,26548,71029,0,0,568232,5,0,5,0,0,5,0
Cochin,Container,Exporter,Electronics,Multi-modal,752,87076,20671,107747,0,0,430988,5,1,5,1,0,2,1
Kolkata,Hazardous,Retailer,Machinery,Rail,603,73361,27394,100755,0,0,503775,5,1,5,0,0,1,1
JNPT,Container,Importer,FMCG,Rail,281,89723,23631,113354,0,0,340062,5,1,3,0,0,3,1
JNPT,Liquid,Importer,Machinery,Road,1273,47099,34916,82015,1,1,656120,9,0,3,0,8788,3,1
Chennai,Hazardous,Importer,Chemicals,Multi-modal,485,58052,36531,94583,1,2,756664,3,0,3,1,19508,3,1
Mundra,Container,Importer,Chemicals,Road,1296,79261,30759,110020,0,0,770140,8,1,1,0,0,2,1
Chennai,Container,Retailer,FMCG,Multi-modal,239,72125,26979,99104,1,1,198208,2,1,5,1,9843,3,1
Mundra,Bulk,Importer,Chemicals,Rail,572,82676,26303,108979,1,4,980811,10,0,1,1,34276,1,1
JNPT,Hazardous,Distributor,Chemicals,Road,1245,89145,27128,116273,0,0,581365,3,1,1,1,0,1,1
Kolkata,Container,Distributor,Chemicals,Multi-modal,305,74964,27165,102129,0,0,919161,6,1,3,0,0,5,1
Cochin,Bulk,Exporter,Chemicals,Road,327,85268,35921,121189,0,0,484756,11,0,5,0,0,3,1
Cochin,Bulk,Distributor,FMCG,Rail,178,79019,29496,108515,1,3,976635,12,0,3,0,21057,3,1
Mundra,Bulk,Distributor,Textiles,Multi-modal,1139,42520,23081,65601,1,2,524808,9,1,5,0,7094,4,1
Mundra,Bulk,Exporter,FMCG,Road,1450,50805,23083,73888,1,2,147776,4,0,3,0,12220,3,1
Cochin,Bulk,Retailer,Textiles,Rail,871,49596,25251,74847,1,4,523929,8,0,5,1,27564,4,1
JNPT,Container,Retailer,Textiles,Road,385,67766,30822,98588,0,0,690116,10,0,4,1,0,2,1
Mundra,Liquid,Distributor,Textiles,Rail,713,68731,31154,99885,0,0,699195,13,1,6,1,0,5,1
Kolkata,Hazardous,Distributor,FMCG,Multi-modal,1186,56044,25469,81513,0,0,652104,11,1,3,0,0,5,0
JNPT,Container,Exporter,Chemicals,Multi-modal,186,74051,37043,111094,1,3,888752,10,1,5,0,29073,5,1
Mundra,Bulk,Distributor,Electronics,Multi-modal,612,86698,30077,116775,1,1,817425,5,0,2,0,6017,3,1
Cochin,Container,Retailer,Machinery,Rail,1333,62436,30195,92631,1,2,833679,14,0,2,0,7678,1,1
Kolkata,Bulk,Importer,Chemicals,Road,597,53493,37069,90562,1,4,181124,5,1,4,1,23992,3,1
Kolkata,Bulk,Retailer,Chemicals,Road,1301,72591,22014,94605,0,0,567630,8,0,4,1,0,3,1
JNPT,Container,Retailer,FMCG,Multi-modal,1221,57073,24000,81073,1,2,648584,8,0,5,1,7078,1,1
Cochin,Bulk,Importer,Textiles,Road,902,68228,21753,89981,0,0,179962,12,0,5,0,0,2,0
Cochin,Hazardous,Distributor,Electronics,Road,622,63017,35352,98369,1,3,196738,2,1,2,0,22698,1,1
JNPT,Bulk,Exporter,FMCG,Rail,1185,52485,30849,83334,0,0,500004,9,1,2,1,0,4,0
Kolkata,Liquid,Exporter,Machinery,Rail,432,56994,21727,78721,1,1,708489,4,1,4,1,6774,5,1
Kolkata,Hazardous,Exporter,FMCG,Road,1327,89050,26823,115873,1,2,231746,3,1,4,0,5154,4,1
Chennai,Bulk,Distributor,Machinery,Multi-modal,828,88563,38810,127373,0,0,509492,8,1,2,1,0,4,1
Kolkata,Container,Retailer,FMCG,Rail,877,47239,26710,73949,1,3,665541,4,1,4,1,11466,3,1
Cochin,Liquid,Distributor,Electronics,Multi-modal,1073,53937,21898,75835,1,1,379175,8,0,4,1,4690,5,1
Kolkata,Bulk,Exporter,Electronics,Multi-modal,1182,45906,22591,68497,0,0,273988,7,0,5,1,0,2,1
Kolkata,Hazardous,Exporter,Textiles,Road,245,41529,28438,69967,0,0,419802,9,1,2,1,0,3,0
Cochin,Hazardous,Importer,Chemicals,Road,1468,89416,29587,119003,1,2,476012,2,0,4,1,7008,5,1
Mundra,Bulk,Distributor,Chemicals,Rail,239,40587,32763,73350,0,0,660150,1,0,3,1,0,2,0
Mundra,Liquid,Importer,Machinery,Multi-modal,911,58710,31439,90149,0,0,180298,11,0,1,1,0,2,1
Chennai,Hazardous,Retailer,Electronics,Multi-modal,904,40155,21958,62113,0,0,310565,3,1,2,0,0,5,1
Chennai,Container,Importer,Electronics,Multi-modal,894,84333,28179,112512,1,4,225024,2,0,1,1,33672,3,1
Chennai,Liquid,Exporter,Textiles,Multi-modal,645,55223,26701,81924,0,0,409620,1,0,6,1,0,1,0
Chennai,Bulk,Distributor,Machinery,Multi-modal,1136,59330,29641,88971,1,4,444855,9,0,4,0,10124,3,1
Kolkata,Bulk,Retailer,Electronics,Road,1449,74228,34140,108368,0,0,216736,4,0,6,0,0,1,1
Chennai,Bulk,Exporter,FMCG,Road,1200,72808,25827,98635,0,0,493175,7,1,5,1,0,4,1
Chennai,Liquid,Retailer,Chemicals,Road,1062,69165,21492,90657,0,0,543942,13,0,5,0,0,1,1
Cochin,Liquid,Distributor,Electronics,Multi-modal,75,74215,26581,100796,0,0,806368,4,0,6,1,0,4,1
JNPT,Container,Distributor,Chemicals,Rail,125,68803,38230,107033,0,0,535165,13,0,6,1,0,2,1
Chennai,Liquid,Importer,Electronics,Rail,622,82752,29302,112054,0,0,784378,12,1,2,0,0,3,1
Kolkata,Bulk,Importer,Textiles,Road,702,85496,30332,115828,0,0,463312,13,1,1,1,0,3,1
Kolkata,Hazardous,Importer,FMCG,Multi-modal,431,77465,36724,114189,0,0,1027701,9,0,5,0,0,1,1
Cochin,Liquid,Distributor,Textiles,Rail,956,89062,36566,125628,1,1,1130652,13,0,6,0,9210,4,1
Cochin,Container,Importer,FMCG,Multi-modal,1037,84299,26588,110887,0,0,665322,10,0,1,0,0,5,1
JNPT,Liquid,Retailer,Electronics,Multi-modal,469,63377,33969,97346,0,0,681422,2,0,3,0,0,4,1
JNPT,Container,Retailer,Machinery,Road,251,84409,39086,123495,1,2,987960,2,0,3,0,11316,1,1
JNPT,Liquid,Retailer,Machinery,Rail,436,57154,39539,96693,1,1,290079,14,1,2,0,5008,4,1
Chennai,Liquid,Importer,Electronics,Multi-modal,272,88438,21998,110436,0,0,662616,9,0,1,1,0,5,1
Chennai,Bulk,Retailer,FMCG,Rail,1261,75426,23500,98926,0,0,593556,12,1,3,0,0,1,1
Chennai,Hazardous,Retailer,Electronics,Multi-modal,1363,50233,36378,86611,1,4,433055,8,1,5,0,17068,5,1
JNPT,Container,Distributor,FMCG,Multi-modal,1056,84179,25906,110085,0,0,550425,11,1,3,0,0,5,1
Mundra,Hazardous,Retailer,Electronics,Road,886,66039,35845,101884,0,0,509420,14,1,3,0,0,5,1
Kolkata,Bulk,Distributor,Textiles,Rail,311,47597,34325,81922,1,3,245766,11,0,5,1,15027,5,1
Mundra,Container,Importer,Chemicals,Rail,250,46313,28315,74628,0,0,597024,1,0,5,0,0,1,1
Cochin,Hazardous,Retailer,Machinery,Rail,414,82261,32355,114616,1,1,229232,6,0,3,0,1946,3,1
Mundra,Bulk,Retailer,Chemicals,Multi-modal,408,44857,20340,65197,0,0,325985,4,0,1,1,0,5,0
Mundra,Liquid,Retailer,Electronics,Rail,836,79420,39554,118974,1,4,832818,5,0,5,1,9228,5,1
JNPT,Container,Retailer,Textiles,Rail,1213,66485,30238,96723,1,1,290169,6,0,6,0,1475,5,1
JNPT,Hazardous,Retailer,Textiles,Multi-modal,715,41960,20557,62517,0,0,437619,12,1,4,1,0,2,0
Kolkata,Bulk,Distributor,Textiles,Road,548,68064,33527,101591,0,0,406364,2,0,3,0,0,2,1
Kolkata,Liquid,Distributor,Electronics,Road,386,46142,39203,85345,1,3,768105,1,0,3,0,19326,3,1
Cochin,Container,Distributor,Machinery,Rail,732,64045,38108,102153,1,4,306459,3,1,2,1,5104,4,1
Mundra,Container,Retailer,Textiles,Multi-modal,1443,55906,37079,92985,0,0,650895,8,1,1,1,0,3,1
JNPT,Hazardous,Importer,Electronics,Multi-modal,306,49764,29959,79723,1,4,717507,4,0,2,0,16700,1,1
Mundra,Bulk,Exporter,Textiles,Multi-modal,959,88511,28605,117116,0,0,468464,12,0,5,1,0,5,1
Cochin,Liquid,Distributor,FMCG,Rail,1261,48549,25185,73734,0,0,589872,2,1,2,0,0,2,1
Chennai,Hazardous,Distributor,Machinery,Multi-modal,370,44727,25686,70413,1,1,563304,1,0,6,0,3828,5,1
Chennai,Container,Distributor,FMCG,Rail,709,63864,35061,98925,0,0,791400,2,1,2,1,0,4,1
Cochin,Liquid,Distributor,FMCG,Rail,1148,45585,29227,74812,0,0,523684,9,1,1,0,0,1,1
Mundra,Container,Exporter,FMCG,Road,439,43167,31989,75156,1,3,676404,5,1,1,1,18828,4,1
Chennai,Container,Importer,Textiles,Road,1156,45738,25793,71531,0,0,357655,1,1,4,0,0,2,1
Cochin,Container,Retailer,Machinery,Road,284,66586,31992,98578,1,2,788624,13,0,1,1,18086,3,1
JNPT,Hazardous,Distributor,Chemicals,Road,859,49821,25832,75653,0,0,302612,1,0,6,1,0,1,0
Chennai,Liquid,Retailer,Electronics,Multi-modal,1086,62161,27935,90096,0,0,450480,2,0,5,1,0,3,1
JNPT,Hazardous,Importer,Chemicals,Rail,1076,82838,29388,112226,0,0,224452,12,1,4,1,0,4,1
